ID,Progress,Duration__in_seconds_,age,"sex (1=male, 2=female) ",shared_data_in_past,shared_data_in_future,likeliness_current_system,allowed_to_share,legal_constraints,Bnoquestions_secondary_res,Bpreparing_time,Bunfair_do_own_work,Bdata_too_big,Bdata_too_complex,Bdata_not_important,Bno_recognition_footnote,Bno_recognition_citation,Bno_recognition_coauthor,Bnever_learned,Bnever_thought_about_sharing,Bno_common_practice,Bcommercialize_data,Bprefer_upon_request,Bno_suitable_place,Bothers_control_intellectualprop,Bothers_alternative_analyses,Bothers_errors_discovered,Bothers_scooped,Bothers_misinterpret,Bothers_unintended_purposes,Bself_control_intellectualprop,Bself_alternative_analyses,Bself_errors_discovered,Bself_scooped,Bself_misinterpret,Bself_unintended_purposes,Cminimal_effort,Cminimal_time,Ceasy_to_understand,Crecognition_footnote,Crecognition_citation,Crecognition_coauthor,Csame_prestige,Csomeone_shows_me,Csuitable_place,Cfirst_rights_publish,Ctrust_requestor,Cdetermine_conditions,Cfunder_requires,Cfunder_encourages,Cjournal_requires,Cjournal_encourages,Cinstitution_requires,Cinstitution_encourages,Ccommunity_expects,Cfinancial_reward,Cgrants_increased_ifshared,Cgrants_decreased_ifnotshared,desirable_researchfield,desirable_currentproject,profit_researchfield,profit_currentproject,main_benefit
1,100,239,30,1,0,4,8,1,NA,1,1,1,1,1,1,1,1,1,2,1,5,1,7,5,1,1,1,1,1,5,1,1,1,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,4,4,4
2,100,215,30,1,0,2,5,2,NA,3,5,3,3,3,3,3,3,3,6,4,5,2,5,5,5,5,5,5,5,5,5,5,4,5,4,3,6,6,5,6,6,7,7,6,6,6,6,6,7,6,7,6,7,6,6,6,7,7,4,3,4,4,3
3,100,457,48,1,0,3,6,1,NA,1,6,1,2,2,2,4,4,4,7,1,4,1,2,4,5,2,4,5,5,5,2,3,1,3,5,5,6,6,6,6,6,6,6,6,6,7,6,4,7,6,7,6,7,6,6,6,6,6,5,5,5,5,4
4,100,320,37,1,10,4,7,3,3,3,6,5,1,1,4,3,3,1,5,3,5,1,5,1,5,5,5,5,3,5,5,2,5,2,3,5,6,6,6,6,6,1,1,1,6,6,6,6,7,5,7,5,7,5,6,6,6,6,4,3,3,2,3
5,100,324,58,2,0,1,4,3,6,6,6,6,2,2,3,5,5,6,6,6,6,2,2,4,6,6,6,6,6,5,6,3,5,6,6,6,2,2,2,2,2,2,5,2,2,2,2,5,6,6,3,1,6,5,5,6,6,6,3,2,2,1,2
6,100,533,60,2,2,2,6,1,NA,3,7,5,3,5,2,2,2,4,1,1,7,1,4,3,2,6,6,3,5,3,2,2,2,3,2,1,6,6,4,5,6,4,7,2,6,6,6,4,7,6,7,6,7,6,6,7,7,6,5,5,5,2,3
7,100,254,29,1,100,5,8,1,NA,1,5,2,1,1,1,5,5,2,1,1,1,1,1,1,6,7,7,7,5,4,3,5,5,4,2,1,7,7,7,5,7,6,7,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,5,5,5,5,1
8,100,392,36,1,2,2,5,1,NA,5,2,6,1,1,1,6,6,6,1,1,2,1,1,1,5,5,5,7,3,5,5,5,5,7,4,5,6,6,6,5,6,7,7,4,4,7,7,7,7,6,7,6,7,6,5,7,7,7,4,4,3,3,1
9,100,447,71,2,2,1,4,1,NA,5,7,3,5,5,5,5,5,7,6,3,7,4,3,5,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,6,6,6,7,6,5,6,5,4,7,6,7,6,7,6,6,6,7,7,5,5,5,5,1
10,100,449,56,1,2,4,8,1,NA,2,3,5,2,2,2,2,2,2,1,1,5,2,2,1,7,7,6,6,5,5,2,3,3,2,2,2,7,7,7,7,7,7,7,6,4,5,4,4,7,7,7,7,7,7,7,7,7,7,5,5,5,5,1
